Age,Degrees,Income
22,1,41000
23,1,42200
24,1,43500
25,2,51000
26,1,44800
27,2,52500
28,1,46200
29,3,61000
30,2,54000
31,1,47800
32,2,56000
33,1,49200
34,3,64500
35,2,58500
36,1,50800
37,2,60500
38,1,52200
39,3,68000
40,2,63000
41,1,53800
42,2,65000
43,1,55200
44,3,71500
45,2,67500
46,1,56800
47,2,69500
48,1,58200
49,3,75000
50,2,72000
51,1,59800
52,2,74000
53,1,61200
54,3,78500
55,2,76500
56,1,62800
57,2,78500
58,1,64200
59,3,82000
60,2,81000
61,1,65800
62,2,83000
63,1,67200
64,3,85500
65,2,85500
66,1,68800
67,2,87500
68,1,70200
69,3,89000
70,2,90000
22,2,48000
23,1,42000
24,2,50000
25,1,44000
26,3,59000
27,1,45500
28,2,52000
29,1,46800
30,3,62000
31,2,55000
32,1,48200
33,2,57000
34,1,49600
35,3,65500
36,2,59500
37,1,51200
38,2,61500
39,1,52600
40,3,69000
41,2,63000
42,1,54200
43,2,65000
44,1,55600
45,3,72500
46,2,67500
47,1,57200
48,2,69500
49,1,58600
50,3,76000
51,2,72000
52,1,60200
53,2,74000
54,1,61600
55,3,79500
56,2,76500
57,1,63200
58,2,78500
59,1,64600
60,3,83000
61,2,81000
62,1,66200
63,2,83000
64,1,67600
65,3,86500
